alias,canonical_name
jacket_weight,jacket_weight
weight_jacket,jacket_weight
jacket weight,jacket_weight
number_of_legs,number_of_legs
number of legs,number_of_legs
slots,number_of_slots
number_of_slots,number_of_slots
number of slots,number_of_slots
impurities,impurities
water_depth,water_depth
water depth,water_depth
topside_weight,topside_weight
weight_topside,topside_weight
topside weight,topside_weight
piling_weight,piling_weight
piling weight,piling_weight
topside_equipment,topside_equipment
