scenario_id,row_type,Substructures,TS Deck Structure,TS Prod. Facilities,Pipeline,Cert. & Permit,General Support,Total Cost Sum
1,Baseline,18432150,12104890,9451220,14673810,215430,1845600,56723100
1,Forecast,19206300,12613295,9923781,15921084,219739,1910196,59794395
2,Baseline,46812440,12945110,8112050,5234900,285120,2450890,75840510
2,Forecast,57298427,13734762,8606885,5522820,293674,2695979,88152547
3,Baseline,31405220,24881340,19654110,41209850,412600,4892150,122455270
3,Forecast,34388716,26871847,21226439,52048041,433230,6614187,141582460
4,Baseline,51894330,67231090,83405670,10145200,675340,6120400,219472030
4,Forecast,55940088,86459182,109595050,10774202,776641,6885450,270430613
5,Baseline,152430910,118655420,184332190,91048550,1250800,14650220,562368090
5,Forecast,217671339,136000111,212350683,103613250,1382134,17052856,688070373
6,Baseline,186644825,24942603,14713773,41913810,713575,8489709,277418295
6,Forecast,191433151,25373449,14996425,41714019,712070,8522427,282751541
7,Baseline,176603172,13561597,158658074,31687537,1701601,19285201,401497182
7,Forecast,180185314,15038158,173305003,31767335,1772948,19675451,421744209
8,Baseline,72797847,112474447,98353911,18718431,394502,13748244,316487382
8,Forecast,77975908,124005541,107262486,19854862,445053,14248320,343792170
9,Baseline,163187279,49349722,176749210,88016315,958403,7452134,485713063
9,Forecast,197691094,66019409,167911750,107511077,911142,9794581,549839053
10,Baseline,185640242,121952406,105933892,26831063,976325,12920906,454254834
10,Forecast,194402427,125615648,108870910,26876183,1010360,12936691,469712219
11,Baseline,116859295,46231783,179798626,97363534,1368008,8369062,449990308
11,Forecast,157760048,52132361,170808695,120109488,1607536,9251753,511669881
12,Baseline,167251235,127624071,92470701,33538251,1574554,17751421,440210233
12,Forecast,188708950,133946860,96366637,39237027,1651194,20935056,480845724
13,Baseline,171640927,63606628,105172681,34436733,490102,18096865,393443936
13,Forecast,197067782,63737611,105544155,38255291,535949,18999799,424140587
14,Baseline,174957580,72820592,150033050,38744231,1360198,1385239,439300890
14,Forecast,200902771,81716190,168879673,40371395,1404932,1394204,494669165
15,Baseline,15871157,106917555,78702958,72187530,1797950,6994562,282471712
15,Forecast,18191691,129310778,87504447,73746797,1928740,7069273,317751726
16,Baseline,157365729,10076758,168777963,48507489,1224680,1653531,387606150
16,Forecast,171006614,10765119,170455423,48996682,1278171,1642625,404144634
17,Baseline,145457070,119524787,26579092,76498611,1806071,5219822,375085453
17,Forecast,155486962,121999652,29864844,80131658,1827169,5570458,394880743
18,Baseline,68996077,105690391,91675705,58551839,1608629,13529912,340052553
18,Forecast,68441472,108872032,98259045,68145625,1660260,13914913,359293347
19,Baseline,34057061,105004803,177410411,12901903,680125,3261579,333315882
19,Forecast,32996679,120486865,257245096,14476559,703604,4729290,430638093
20,Baseline,168288213,87337818,134881663,37614537,1845466,16870338,446838035
20,Forecast,167603908,125644123,192705314,54541079,2675926,24461990,567632340
21,Baseline,188457556,23209423,24270590,59038913,1727174,12385106,309088762
21,Forecast,222214549,33653663,26177881,68678632,2504402,17958404,371187531
22,Baseline,35235977,69476001,155726826,18141087,306091,19139121,298025103
22,Forecast,51092167,100740201,167406624,26053924,345471,25655888,371294275
23,Baseline,30739821,32097220,109729822,5289289,1018773,9898737,188773662
23,Forecast,34636735,45201330,157075080,7669469,1410494,12518035,258511143
24,Baseline,65975320,49823450,66438638,12849494,1414629,19193052,215694583
24,Forecast,65293658,51677535,72187972,13405472,1401075,19973675,223939387
25,Baseline,64882009,19196777,167728520,14121552,1616023,8892133,276437014
25,Forecast,85486625,27835327,159342094,13415474,2343233,12893593,301316346
26,Baseline,99924883,44999379,62830411,94889098,1701963,11542261,315887995
26,Forecast,105689088,45770709,64018273,101192660,1688909,11939397,330299036
27,Baseline,166127454,23419256,27665774,77160068,647016,17974673,312994241
27,Forecast,188985736,26634665,28834946,77374268,730358,19853643,342413616
28,Baseline,179195998,118327120,183550430,75993218,216406,19609364,576892536
28,Forecast,221217611,118028544,182067404,75191344,242566,20357352,617104821
29,Baseline,177357770,38270233,100041226,32326368,1641785,9857829,359495211
29,Forecast,211595734,37570263,112599998,37938812,1609040,10364601,411678448
30,Baseline,50116634,95511909,78318081,26687165,1754473,15825539,268213801
30,Forecast,47610802,92858233,105729409,36027673,2166523,21364478,305757118
31,Baseline,171366221,84158663,47753623,62684996,467272,2403543,368834318
31,Forecast,189019272,93685195,53447026,63349447,475132,2388358,402364430
32,Baseline,165292587,128666550,117086099,88303777,1771768,6185949,507306730
32,Forecast,176095175,186566498,126519613,117139154,1918794,8969626,617208860
33,Baseline,125518410,117674177,187826825,38308443,759532,6341793,476429180
33,Forecast,150224970,140415922,192648014,45288008,826624,6642838,536046376
34,Baseline,76094699,39920292,14352373,93588154,605022,14370299,238930839
34,Forecast,88562453,41001917,15775315,98367204,705868,15494242,259906999
35,Baseline,22408963,25480907,78119420,28966966,1417584,9907573,166301413
35,Forecast,23044888,27775276,81327708,32376904,1412187,10956422,176893385
36,Baseline,66023882,44188276,19914918,63526649,203546,18445631,212302902
36,Forecast,93033171,62922175,27419938,74611859,199510,25319092,283505745
37,Baseline,103637396,93638503,92266088,94038359,1978416,5181731,390740493
37,Forecast,116413181,111389606,109387164,104773468,1981444,6205814,450150677
38,Baseline,116776035,100908075,54715108,87613013,1393500,11098202,372503933
38,Forecast,122449750,102958036,65329417,99874507,1468931,12099263,404179904
39,Baseline,196362305,38682516,145217224,68509974,1864583,6693898,457330500
39,Forecast,236966337,46019388,143455568,90251959,1943196,7170191,525806639
40,Baseline,68453534,29777514,14556640,11202700,713472,16942930,141646790
40,Forecast,79461346,40199644,17749387,14437702,803398,19207660,171859137
41,Baseline,54613380,98054615,9488424,19305904,1832465,15265539,198560327
41,Forecast,60753782,104467287,10288073,22346121,1824456,15236000,214915719
42,Baseline,139726719,99600766,150574628,80017682,1448754,11646752,483015301
42,Forecast,190415952,143248211,193704901,116025639,1907912,16887790,662190405
43,Baseline,142419448,70407340,77576201,38183955,1961320,10305024,340853288
43,Forecast,192266255,77981151,74925586,42597070,2168237,11747832,401686131
44,Baseline,159996008,20814950,45144504,25244148,684990,13852531,265737131
44,Forecast,151996208,28100182,60945080,34079600,802429,18700917,294624416
45,Baseline,171787623,103351515,13243068,82267850,997716,17004784,388652556
